StartDate,EndDate,SubjectID,mainfeel1,mainfeel2,mainfeel3,mainfeelexpl,o_acceptance,o_adventurous,o_aggravation,o_agitated,o_alert,o_ambivalent,o_amused,o_amusement,o_anger,o_angry,o_annoyance,o_annoyed,o_annoyed_with_her,o_anxiety,o_anxious,o_apathetic,o_apathy,o_apologetic,o_astonished,o_astonishment,o_astounded,o_aware,o_awful,o_awkward,o_bad,o_badly,o_baffled,o_bemused,o_betrayal,o_bewilderment,o_bitter,o_bland,o_bored,o_boredom,o_bummed,o_calm,o_caring,o_casual,o_comfort,o_comfortable,o_compassion,o_compassionate,o_concern,o_concerned,o_confused,o_confusion,o_connected,o_consoling,o_consternation,o_content,o_curiosity,o_curious,o_cynical,o_deceived,o_defeat,o_deflated,o_depressed,o_depression,o_despair,o_detached,o_disappointed,o_disappointing,o_disappointment,o_disbelief,o_discomfort,o_disgust,o_disheartened,o_disinterest,o_dislike,o_dismay,o_distracted,o_distress,o_distressed,o_doubtful,o_down,o_drained,o_drowsy,o_eager,o_eagerness,o_embarrassed,o_empathetic,o_empathic,o_empathy,o_engaged,o_entertained,o_envy,o_excited,o_excluded,o_exhausted,o_exhaustion,o_fatigue,o_fear_of_missing_out,o_fortunate,o_frustrated,o_frustration,o_furious,o_futuristic,o_grateful,o_happy,o_heartbroken,o_helpless,o_helplessness,o_honest,o_hopeful,o_hopeless,o_horribly,o_humor,o_humored,o_hungry,o_hurt,o_imaginative,o_impatient,o_included,o_indifference,o_indifferent,o_indignance,o_insightful,o_interest,o_interested,o_intimacy,o_intrigue,o_intrigued,o_introspective,o_irritation,o_jealous,o_judging_her_storytelling,o_left_out,o_let_down,o_love,o_mad,o_melancholy,o_mild,o_nervous,o_neutral,o_nonchalant,o_normal,o_not_interesting,o_objective,o_optimism,o_outraged,o_overwhelmed,o_passionate,o_pensive,o_perseverance,o_pissed,o_pity,o_put_off,o_realism,o_regret,o_regretful,o_relatability,o_relaxed,o_relieved,o_remorse,o_risky,o_sad,o_saddened,o_sadness,o_security,o_sentimental,o_shock,o_shocked,o_sincere,o_sleepy,o_smiling,o_solemn,o_sorriness,o_sorrow,o_sorry,o_static,o_stiff,o_stress,o_stressed,o_surprise,o_surprised,o_surprisement,o_suspicious,o_sympathetic,o_sympathy,o_tired,o_tiredness,o_uncertainty,o_uncomfortable,o_understandable,o_understanding,o_unemotional,o_unfortunate,o_unhappiness,o_unhappy,o_unlucky,o_unmoved,o_unsure,o_unsurprised,o_upset,o_useless,o_want_to_cry,o_want_to_know_more,o_wish_i_could_help,o_wonder
11/11/14 10:49,11/11/14 11:24,101,Sadness,Empathy,Surprised,I feel sad because it is a very sad story. For someone to miss their best friend's bachelorette party is pretty sad.  I feel empathy because i feel sorry for this girl.  And I am surprised because why would she let someone who had car trouble very short before her trip let her drive here there?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/14 11:24,11/11/14 12:50,102,Empathy,Sadness,,I feel bad for the person writing the letter. Because of her friend; she was unable to attend a party she planned and was looking forward to.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/14 10:56,11/12/14 11:27,103,surprised,shocked,upset,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/12/14 11:27,11/12/14 11:55,104,disappointment,interested,,I was interested to hear about the bacherlorette party (I am only 19 so I haven't had an opportunity to attend an event similar to this). Yet disappointed for her. It is sad to hear about all of the planning she had done; and I'm sure the writer was very excited to see her best friend. It is a shame that she was not able to.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/14 11:55,11/12/14 12:33,105,Comfort,Included,Calm,Reading the letter feels as if what was written was specifically shared with me. A letter gives the impression of greater sincerity; as it is in the authors own writing. What was written takes on a greater importance as a result. Because of sincerity that letters have; I feel included; which allows myself to feel comfort and calm. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/14 11:01,11/18/14 11:27,107,Angry,Dissapointed,Sad,I feel bad for the girl's struggle in the letter I read and the unfortunate situation she was put in because she was lied to.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/14 11:27,11/18/14 12:40,108,Sorry for her,Angry,Upset ,I felt sorry for Melissa because she missed her bestfriends bachelorette party. I was angry because the guy that offered to take them lied about get his car fixed and the car ended up breaking down.  ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/19/14 10:56,11/19/14 11:32,109,empathy,sadness,,I felt sadness and empathy for the girl; Melissa; who wrote the letter because she described a sad event where she was unable to visit her best friend for her bachelorette party and how she cried because of this. That made me feel sad for her. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/14 11:32,11/19/14 11:57,110,sympathy,frustration,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/14 12:05,11/19/14 12:52,112,,,,I feel bad for the author because I can't imagine being in her shoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
