SubjectID,pt_cond,emot_cond,exper,mainfeel_1,mainfeel_2,mainfeel_3,main_expl,mainfeel_prob,mainfeel_prob_comment,happy,shocked,hopeful,angry,compass,interest,disgust,mad,curious,afraid,grateful,proud,surprise,amused,down,worried,frustrated,sad,embarrass,guilt,selfanger,symp,melfeel_1,melfeel_2,melfeel_3,melexpl,mhappy,mshocked,mhope,mangry,mselfanger,minterest,mdisgust,mmad,mcurious,mafraid,mgrateful,mproud,msurprise,mamused,mdown,mworried,mfrustrate,msad,membarrass,mguilty,pleas,selfag,targag,otherag,sitag,mixag,selfpow,targpow,othpow,noonepow,sitcont,immoral,m_pleas,m_selfag,m_otherag,m_sitag,m_mixag,m_selfpow,m_otherpow,m_noonepow,m_sitpow,m_immoral,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_10,iri_11,iri_15,iri_29,iri_30,iri_32,iri_33,iri_34,iri2_19,iri2_22,iri2_23,iri2_24,iri2_25,iri2_28,iri2_35,iri2_36,iri2_37,iri2_38,iri2_39,iri2_40,iri2_41,iri2_42,ssc,ideol,age,female,black,asian,latino,white,other,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,language,inattentionORsuspicion,minorproblem
122,2,1,jpsh,sad,,,,0,,2,2,2,2,5,8,2,3,2,2,2,1,2,NA,2,2,8,8,8,2,2,NA,sad,,,,8,NA,3,NA,NA,NA,NA,2,5,NA,NA,NA,4,3,5,NA,NA,NA,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,4,3,5,5,3,2,4,4,5,2,2,2,3,3,3,2,3,4,2,4,4,2,4,2,21,7,NA,NA,0,0,1,0,0,0,0,0,7,8,,0,0,0
105,1,2,tia,Comfort,Included,Calm,Reading the letter feels as if what was written was specifically shared with me. A letter gives the impression of greater sincerity; as it is in the authors own writing. What was written takes on a greater importance as a result. Because of sincerity that letters have; I feel included; which allows myself to feel comfort and calm. ,0,,3,1,3,1,4,5,1,1,4,1,4,2,1,2,1,1,1,1,1,1,1,2,Anger,Disgust,Dissapointment,,1,2,1,4,1,1,4,4,1,1,1,2,2,1,2,1,5,2,1,1,2,1,2,4,4,5,1,3,4,2,1,3,4,1,5,2,3,1,4,2,2,3,5,4,1,2,4,4,5,4,2,2,4,4,4,2,4,3,3,3,2,3,4,4,2,2,3,2,4,2,20,6,18,0,0,0,0,1,0,0,0,0,4,7,said that purpose of study was to see how one empathizes. thought the question about how one would react in an emergency was a bit unusual. ,0,0,0
112,2,1,tia,,,,I feel bad for the author because I can't imagine being in her shoes,0,,1,1,1,1,3,3,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,4,Upset,Disappointed,,,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,1,3,5,1,2,3,1,1,3,3,3,2,2,2,1,2,1,4,2,3,1,3,1,NA,1,2,1,4,3,1,1,5,2,2,4,2,2,3,3,3,1,4,2,5,4,5,3,4,4,1,4,5,1,4,2,19,3,18,1,0,0,0,1,0,0,0,0,7,7,nothing significant to note.,0,0,0
113,1,2,tia,Indifferent,Bored,Normal,I don't really feel anything out of the ordinary right now.,0,,1,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,Angry,Sad,Regretful,The events they described are still effecting them so they explicitly expressed their feelings on the situation.,1,3,1,5,1,1,1,5,1,1,1,1,2,1,3,1,4,5,1,3,3,1,1,5,2,3,1,3,4,1,1,3,5,1,5,2,3,2,4,1,2,3,4,3,1,1,2,1,4,2,1,4,4,2,5,3,1,4,3,4,2,2,5,1,1,4,3,2,3,1,20,5,18,1,1,0,0,0,0,0,0,0,2,2,thought purpose of the study was to see how well one can detach. subject said it was almost impossible to detach and remain objective; because the emotions in the letter were so relateable . when i asked how the subject tried to be object; said they tried to just read the words and not focus on the anger; but it was obvious it was there,0,0,0
115,1,1,tia,sadness,empathy,,,0,,1,2,1,1,5,4,1,1,1,1,1,1,3,1,3,2,2,4,1,1,1,5,very sad,mad,guilty,,1,2,1,5,3,3,2,4,1,1,1,1,2,1,5,4,4,5,4,4,4,1,3,3,5,4,1,2,4,2,3,1,5,3,1,5,3,1,3,1,2,1,4,5,2,3,4,4,5,2,3,2,3,3,5,1,1,4,3,4,1,5,2,4,2,5,4,1,5,1,21,5,18,1,0,0,0,1,0,0,0,0,3,8,,0,0,0
116,2,1,tia,awful,upset,sorry ,I would be so devastated if I missed my best friend's Bachelorette party; therefore; I feel sorry and upset that it happened to Melissa.,0,,1,1,4,1,3,3,1,1,3,1,3,1,1,3,2,2,2,3,1,1,1,4,upset,sorry,mad,She is upset that she missed the party; and is sorry to her best friend for missing the party. However; she is probably a little mad at her friend for not making sure the car was fully prepared for the trip to the city. ,1,3,2,3,4,1,1,3,1,1,1,1,2,1,5,3,4,5,1,3,4,1,2,3,4,5,1,2,3,2,2,1,3,2,3,3,5,1,3,2,2,1,3,5,3,2,1,4,5,5,2,2,3,1,3,5,4,2,3,4,5,2,2,1,1,3,2,2,1,2,21,3,18,1,0,0,0,1,0,0,0,0,7,7,nothing significant to note.,0,0,0
117,1,2,tia,Indifferent,Content ,Relaxed,I feel the same way that I did walking in to this expirement. ,0,,2,1,1,1,3,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,4,Anger,Dissapointment,Sadness,,1,4,1,5,1,1,3,5,1,1,1,1,1,1,3,1,5,3,1,1,3,1,1,5,1,2,1,2,5,2,2,4,5,1,5,4,1,1,5,1,1,5,4,4,4,2,3,3,4,4,2,2,3,2,4,2,3,4,4,4,4,3,4,3,1,3,4,2,4,3,21,6,18,0,0,0,0,1,0,1,0,0,7,8,didn't remember the letter very well; said that it was about someone going to a wedding. didn't think they were able to remain objective very well; tried by just reading word for word and not thinking about it too much. ,0,0,0
201,1,1,Blake,Static,,,The writer merely described a common experience that; quite frankly; is portrayed in many films. I understand that what this writer felt may have been quite troublesome; however; it is nothing too signficant to dwell on.,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Sad,Upset,,,1,1,1,2,2,1,1,2,1,1,1,1,1,4,NA,1,2,5,1,1,3,1,1,2,5,5,1,4,1,1,1,1,5,3,4,4,5,4,4,3,2,1,2,2,1,1,2,2,2,NA,4,1,1,5,5,2,1,4,2,4,2,2,2,2,1,3,2,1,2,1,20,1,18,0,0,1,0,0,0,0,0,0,8,8,,0,0,0
203,1,2,Blake,indifferent,tired,bored,,0,,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,upset,angry,dissapointed,,1,1,1,5,3,1,1,5,1,1,1,1,1,1,5,4,4,5,1,5,3,1,2,5,3,4,1,5,5,1,1,2,5,2,5,1,4,3,5,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,2,18,0,0,0,0,1,0,0,0,0,3,7,Assumed deception,0,1,0
204,1,2,Blake,sympathy,astonishment,indignance,I feel sympathetic for the writer; and also indignance at what her friend did.  However; I do feel like she should calm down a little bit; it sounded like she's been pouting for a while.  I feel astonished that someone would lie about something like taking the car to the mechanic.  Why not just tell the truth? What have you got to lose? Weird.,0,,2,2,1,1,4,3,1,1,3,1,2,1,5,2,1,1,1,2,1,1,1,5,Anger,Frustration,Sadness,,1,2,1,5,1,1,4,5,1,1,1,1,4,1,4,1,5,4,1,1,4,1,1,5,2,2,1,2,4,2,1,3,5,1,5,1,1,1,4,2,1,4,4,4,1,4,3,1,5,4,2,3,5,5,5,1,2,4,4,4,4,4,3,4,2,5,4,1,5,1,21,3,18,0,0,0,0,1,0,0,0,0,8,7,"Noticed survey was geared towards a negative letter - survey already knew that ""random"" Melissa wrote about a bad experience?",0,1,0
205,1,1,Blake,sympathetic,sad,jealous,jealous that she has a good enough friend to come bring her back to ann arbor after being a quarter of the way to NYC,0,,1,2,3,1,4,4,1,1,4,1,3,1,3,1,2,1,1,4,1,1,1,5,sad,upset,left out,,1,5,1,5,4,1,1,4,1,1,2,1,5,1,5,3,5,5,4,4,3,1,3,5,2,5,1,4,5,1,2,1,5,3,4,NA,4,3,4,1,2,1,1,3,1,3,4,2,4,5,3,4,4,4,4,3,2,4,4,3,2,2,4,3,3,4,3,2,1,1,19,3,18,1,0,0,0,1,0,0,0,0,8,1,,0,0,0
207,1,1,Blake,pity,sad,annpyed,I feel bad that she was stuck with no other options to make it to New York for her friends party. I am annoyed that her friends car broke down and there was nothing they could do. Even though she could have come up with a back up plan earlier; her friend insisted he would have it all handled. I feel bad for him too because he unintentionally had the responsibility for the girls not making it there and had to feel guilty. ,0,,2,4,3,4,3,4,1,4,3,2,2,2,4,3,3,4,4,4,1,4,1,4,frustrated,sad,guilt,At the end she said she was even crying while writing about this experience. There was a ton of frustration throughout the entire event.,1,5,2,5,5,1,1,5,2,5,2,1,4,1,5,5,5,5,4,5,5,1,2,3,5,4,1,3,3,2,2,1,5,2,3,4,4,2,3,4,4,3,4,5,2,1,4,2,5,4,2,2,4,2,5,2,4,5,5,3,4,5,2,4,1,3,5,3,5,3,22,4,18,1,0,0,0,1,0,0,0,0,7,8,Felt that she didn't read it very objectively; it was hard for her not to put herself in Melissa's shoes - she thinks telling her to be objective might have had the opposite effect.,0,0,0
209,1,1,Blake,sympathetic,sad,frustrated ,I feel sad that Melissa missed her best friend's bachelorette party due to a friend's car troubles. It is really unfortunate that the car was replaced with a defective part; and that was the reason that she couldn't make it to New York.,0,,2,1,1,3,4,4,1,2,3,1,1,1,1,1,3,2,4,4,1,1,1,4,sad,angry,resentful,Melissa feels sad that she missed her friend's bachelorette party; and is probably angry at whoever replaced her friend's broken car part with another defective part. She probably resents her friend with the broken car a little bit; even though he couldn't go to New York; either; and it was not his fault that the car was broken.,1,3,1,5,4,3,1,4,1,1,1,1,3,1,5,3,5,5,1,4,5,1,2,4,4,5,1,4,3,2,1,2,5,3,5,4,4,2,4,4,3,4,5,5,1,1,4,3,4,2,5,1,3,3,4,1,2,4,4,4,5,5,1,4,1,3,4,2,5,2,22,6,18,1,0,0,0,1,0,0,0,0,8,7,,0,0,0
210,2,2,Blake,empathetic,confused,intrigued,,0,,2,3,1,1,1,5,1,2,4,1,2,1,4,3,2,2,1,2,1,1,1,5,angry,upset,disbelieving ,,1,5,1,5,3,1,2,5,1,2,1,1,5,1,4,2,5,4,4,2,3,1,3,4,1,3,1,3,5,5,4,3,3,4,4,3,3,4,3,4,1,2,5,5,3,2,5,5,4,3,2,4,4,2,5,2,5,3,4,2,2,3,3,5,2,3,5,4,4,3,21,5,18,1,0,0,0,1,0,0,0,0,8,8,,0,0,0
211,2,2,Blake,upset,annoyed,dissapointed,,0,,1,1,1,3,4,3,1,4,1,1,1,1,2,2,2,1,4,3,1,1,1,4,mad,dissapointed,frustrated,,1,4,1,3,1,1,1,4,1,1,1,1,3,1,4,3,5,3,2,1,3,1,4,2,1,3,1,4,3,1,1,2,3,3,1,2,2,4,3,1,1,3,4,2,3,5,2,4,4,2,4,4,4,4,3,2,2,1,3,5,2,3,1,1,4,5,2,1,2,2,23,6,18,1,0,0,0,1,0,0,0,0,7,8,,0,0,0
212,1,1,Blake,sadness,anger,eagerness,,0,,4,1,1,3,4,5,1,1,4,NA,5,4,3,3,1,1,1,3,1,1,1,4,upset,worried,detached,,1,4,1,5,2,1,3,4,1,2,1,1,1,1,4,3,5,5,1,1,4,1,2,3,5,5,1,2,3,5,5,1,5,4,4,3,4,4,4,5,4,1,4,2,3,4,4,2,4,5,4,3,3,4,2,2,4,1,3,3,2,4,2,3,2,4,4,3,3,2,21,3,18,0,0,0,0,1,0,0,0,0,7,7,,0,0,0
214,2,2,Blake,sympathy,anger,,I feel sympathy towards the participant because she missed her best friend's bachelorette party; and I feel anger at her friend who lied about getting the car fixed thus causing her to miss her friends party. ,0,,1,3,1,4,3,3,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,4,anger,frustration ,sadness,,1,3,1,5,1,1,1,5,1,1,1,1,3,1,4,1,5,4,1,1,2,1,2,5,2,3,1,3,5,1,1,3,4,1,5,1,2,2,5,1,1,4,5,3,2,4,4,2,2,2,4,1,3,4,2,1,2,1,2,2,3,2,4,4,4,3,4,2,5,2,21,4,18,0,0,1,0,0,0,0,0,0,7,4,,0,0,0
215,2,2,Blake,empathetic,Sad,annoyed,,0,,1,3,1,1,2,2,2,1,3,1,2,1,1,2,1,1,4,3,1,1,1,4,annoyed,frustrated,disappointed,,1,1,2,4,2,1,4,4,1,1,1,1,3,1,4,3,4,5,2,3,4,1,3,4,2,4,1,5,3,1,1,4,3,3,3,2,4,3,3,3,1,2,4,4,2,2,1,3,2,1,2,1,2,1,2,2,1,1,4,3,2,4,2,3,1,2,3,2,4,2,21,6,18,0,1,0,0,0,0,0,0,0,8,8,,0,0,0
1217,2,1,Blake,Sad,disappointed,pity,The letter started out by showing how excited and interested Melissa was in being able to take a road trip with one of her best friends. Then I began to feel very sorry for her that she was unable to make the trip because of circumstances out of her control.,0,,1,3,2,2,4,4,2,1,2,1,4,2,3,1,2,1,3,4,1,1,1,5,heartbroken,Sad,guilty,Clearly; she was very sad that she had to miss the road trip and bacheloret party. I also think that she feels partly guilty that she missed this big moment of her friend.,1,4,1,4,2,1,1,4,1,1,1,1,3,1,4,5,5,5,2,4,4,1,1,3,4,2,1,1,1,5,5,1,4,2,2,4,3,1,1,4,3,1,3,5,2,5,3,2,5,2,1,3,4,4,4,1,3,4,5,3,5,2,3,4,2,4,4,2,4,2,21,2,18,0,0,0,0,1,0,0,0,0,8,8,Recoded from 217 to 1217 because there was another 217,0,0,0
220,1,2,Blake,Tired,Stressed,Confused,The letter did not create a lot of new feelings,0,,2,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,1,1,4,Angry,Sad,Frusterated,,1,4,1,5,2,1,3,5,1,1,1,1,1,1,3,2,5,4,1,1,2,1,2,5,1,2,1,3,5,1,1,3,5,1,5,1,1,NA,5,1,1,5,4,4,2,2,4,4,5,3,1,3,4,3,4,1,4,4,5,4,4,4,2,4,1,3,3,3,4,3,20,2,18,1,0,0,0,1,0,0,0,0,7,8,,0,0,0
223,2,2,Blake,frustrated,angry,,,0,,1,1,1,4,2,3,2,4,1,1,1,1,1,1,2,1,4,2,1,1,1,3,angry,frustrated,upset,,1,1,1,5,2,1,4,5,1,1,1,1,2,1,4,2,5,4,1,3,2,1,2,5,3,3,1,3,3,1,1,2,4,2,5,1,2,2,5,2,1,3,2,2,2,2,1,2,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,4,18,0,0,0,0,1,0,0,0,0,7,3,,0,0,0
225,1,1,Blake,Sorrow,Annoyed,Sadness,I feel annoyed because she could have not been as cheap and just paid for a flight to begin with. If she was going to do that in the end she clearly could have afforded it.,0,,1,2,1,4,2,2,1,3,2,1,1,1,1,1,2,1,3,4,1,1,1,3,Sorrow,Regret,Sadness,Her feelings while writing were similar to the feelings I had while reading; although hers are a little more extreme.,1,1,1,2,4,1,2,4,1,1,1,1,1,1,5,2,3,5,4,5,4,1,5,4,2,2,1,5,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,1,3,3,3,2,2,2,1,4,5,2,3,2,2,3,3,5,4,2,3,4,5,2,3,22,2,18,0,0,0,0,1,0,0,0,0,7,8,,0,0,0
226,2,1,Blake,upset,frustrated,sad,,1,Participant misread first open ended question group; all close ended were fine,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,upset,emotional,sad,,1,1,1,2,2,2,1,2,1,1,1,1,1,1,3,1,3,3,1,2,4,1,2,3,4,2,1,3,2,1,3,1,3,4,2,3,2,1,2,2,3,1,4,3,3,4,3,5,3,5,4,3,5,2,4,2,5,5,4,3,2,2,4,4,3,4,5,2,5,5,21,5,18,1,0,1,0,0,0,0,0,0,8,8,Participant misread first open ended question group; all close ended were fine,0,0,0
227,2,2,Blake,Betrayal,Hurt,Furious,I would feel betrayed that my friend lied to me. If you are a good friend; you wouldn't hurt me like that. I would also be hurt that I didn't get to go to my best friends bachelorette party. I would remember this for the rest of my life and never forgive the friend that lied to me about getting the repairs,0,,1,3,1,5,4,1,4,5,1,1,1,1,3,1,3,3,5,2,4,1,2,5,hurt,embarassed,furious,,1,4,1,5,1,1,5,5,1,1,1,1,4,1,4,4,5,4,3,1,4,1,2,5,2,2,2,2,5,1,NA,3,5,1,5,1,2,1,5,1,1,5,5,5,1,1,5,3,5,5,1,1,3,5,4,1,5,2,5,5,3,1,1,5,1,5,5,1,5,1,22,5,18,1,0,1,0,0,0,0,0,0,3,8,PT tools/method: Participant imagined she was in Melissa's place and that Melissa's best friend was hers,0,0,0
228,2,2,Blake,Sorry for the girl,Upset,Happy,I'm happy because I love weddings and her best friend is getting married; and I'm upset for the girl and her troubles.,0,,3,3,2,2,5,3,1,2,1,1,1,1,4,2,2,1,3,3,1,1,1,5,Upset,Angry,Shocked,She was mostly angry at her friend who lied.,1,4,1,5,1,1,3,5,1,1,1,1,4,1,4,3,5,4,1,1,5,1,1,5,2,2,1,2,5,2,2,4,5,1,5,1,2,2,5,1,1,4,5,5,3,3,5,4,4,5,1,1,4,4,2,1,3,3,5,3,5,2,4,5,1,5,5,1,5,2,20,5,18,1,0,0,0,1,0,0,0,0,4,7,,0,0,0
229,1,2,Blake,Interested,confused,,,0,,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,Anger,frustrated,,,1,2,1,4,2,1,1,4,1,1,1,1,1,1,1,1,4,2,4,4,2,1,2,5,2,5,1,3,2,1,1,2,4,2,5,1,4,2,2,1,1,2,1,1,3,3,2,1,3,2,3,2,4,4,4,2,2,2,3,4,3,1,3,2,2,3,2,2,1,1,18,6,18,1,0,0,0,1,0,0,0,0,4,7,Way to remain objective: Read the story as a narrator/reminded herself it was of no consequence to her,0,0,0
