StartDate,EndDate,SubjectID,pt_cond,emot_cond,exper,mainfeel1,mainfeel2,mainfeel3,mainfeelexpl,happy,shocked,hope,angry,comp,interest,disgust,mad,curious,afraid,grateful,proud,surprise,amused,down,worried,frust,sad,embarrass,guilty,selfanger,symp,mfeel1,mfeel2,mfeel3,mfeelexpl,mhappy,mshock,mhope,mangry,mselfanger,minterest,mdisgust,mmad,mcurious,mafraid,mgrateful,mproud,msurprise,mamused,mdown,mworried,mfrust,msad,membarrass,mguilty,pleas,selfag,targag,otherag,sitag,mixag,selfpow,targpow,othpow,noonepow,sitcont,immoral,m_pleas,m_selfag,m_otherag,m_sitag,m_mixag,m_selfpow,m_otherpow,m_noonepow,m_sitpow,m_immoral,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_10,iri_11,iri_15,iri_29,iri_30,iri_32,iri_33,iri_34,iri2_19,iri2_22,iri2_23,iri2_24,iri2_25,iri2_28,iri2_35,iri2_36,iri2_37,iri2_38,iri2_39,iri2_40,iri2_41,iri2_42,ssc,ideol,age,gender,female,black,asian,latino,white,other_race,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,PI_note,suspicious,concussion,blameotherpersonproblem,language,inattention,openendedproblem,experimentererror
11/12/14 16:17,11/12/14 16:34,203,1,2,Blake,indifferent,tired,bored,,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,upset,angry,dissapointed,,1,1,1,5,3,1,1,5,1,1,1,1,1,1,5,4,4,5,1,5,3,1,2,5,3,4,1,5,5,1,1,2,5,2,5,1,4,3,5,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,2,18,male,0,0,0,0,1,0,0,0,0,3,7,Assumed deception,,1,0,0,0,0,0,0
2/9/15 13:48,2/9/15 14:28,475,2,1,Sophie,Sadness,Frustrated,Surprised,I felt sad and frustrated that the person who wrote this (Melissa) had such an upsetting experience not being able to get to her best friend's bachelorette party and frustrated for what she went through. I am surprised that she chose to write about it; because it was really depressing to read. I just wrote a happy letter so I wasn't expected to read something so sad.,1,1,1,1,4,3,1,2,5,1,1,1,4,1,2,2,4,1,1,1,1,4,Sadness,Disappointment,Frustration,She felt all of these things because she lost out on the opportunity to go to her best friend's bachelorette party.,1,2,2,4,4,1,3,4,1,1,1,1,2,1,5,1,5,5,4,5,3,1,2,2,4,5,1,2,2,3,1,1,5,4,1,3,5,1,2,3,2,3,4,3,1,2,4,5,3,4,2,1,4,1,4,2,4,3,4,5,3,1,1,4,1,3,5,2,5,2,19,6,20,Female,1,0,0,0,1,0,0,0,0,8,7,Before I asked if she thought there was more to the study than met the eye; the subject said she didn't think the letter had been written by a previous participant.,,1,0,0,0,0,0,0
11/19/15 9:53,11/19/15 10:32,822,2,2,Kiersten Wilde,Annoyed,Upset,,I feel both annoyed and upset because that was how I perceived the emotions of the participant that wrote the letter I read.,2,1,1,4,1,1,2,3,2,1,1,1,1,1,3,1,4,2,1,1,1,3,Annoyed,Distrustworthy,Frustrated,In the story; the writer had agreed to go on a road trip with a friend; who after lying about getting his car fixed; got them stranded in New York because of those very car troubles.  I could sense the writer's emotion of annoyance as she didnt make the party and that shes frsurated with her other friend that lied and essentially caused her to miss her best friends party.,1,1,1,3,1,1,3,4,1,1,1,1,1,1,4,1,5,2,2,1,3,1,2,5,2,2,1,3,5,1,1,2,4,2,5,1,1,2,5,1,1,2,2,2,2,1,3,1,4,2,3,1,4,4,3,1,2,2,4,3,4,2,3,3,1,5,3,1,3,1,21,2,18,Male,0,0,0,0,1,0,0,0,0,8,3,During debriefing; the participant said that the questions seemed tailored to the letter he read. He said that if someone were reading his letter the questions wouldn't be applicable to his letter. ,,1,0,0,0,0,0,0
11/22/15 14:08,11/22/15 14:37,2212,1,2,Alina,sadness,annoyance ,confusion,,1,1,1,3,4,2,2,2,2,1,1,1,1,1,3,1,3,3,1,1,1,4,anger,annoyance ,frustration,,1,5,1,4,1,2,3,5,1,1,1,1,2,1,4,1,5,4,1,1,3,1,1,5,5,1,1,1,5,1,1,4,5,1,4,1,1,1,4,1,1,4,4,5,4,1,5,3,5,5,1,1,5,1,5,1,2,5,5,3,5,4,4,4,1,1,5,2,5,3,22,1,20,Male,0,0,0,0,1,0,0,0,0,7,8,He figured out what the study was. ,,1,0,0,0,0,0,0
11/12/15 8:52,11/12/15 9:31,804,0,2,Kiersten Wilde,Put off,Empathetic,Drained,I feel empathetic to the person's story; which honestly makes me feel a little miffed and tired.,1,1,1,2,2,2,2,2,2,2,1,1,1,2,3,2,3,2,1,1,1,4,Worried,Upset,A little angry,,2,1,1,3,1,2,2,2,1,1,1,1,1,1,3,3,3,3,2,1,3,2,2,4,1,2,1,2,4,2,1,1,3,2,4,1,2,2,4,1,1,2,4,2,1,2,3,2,3,2,2,2,3,2,3,1,2,3,3,3,3,3,2,3,2,3,3,2,3,2,19,6,19,Male,0,0,0,0,1,0,0,0,0,3,7,He said he thought the letter was fake; and that it seemed like the person who wrote it had a lot more time to think about what to write. (no mistakes).,,1,0,0,0,0,0,0
12/4/14 13:28,12/4/14 14:51,433,1,2,Sophie,feel sorry,its not really interesting,hope everything goes well finally,,1,2,3,1,1,1,1,1,2,1,1,1,2,3,4,5,2,4,2,1,1,5,upset,embarrassed,feel sorry for her best friend,,1,1,1,1,3,1,1,5,1,4,1,1,1,1,5,5,5,5,5,4,4,1,1,2,2,5,1,1,3,1,1,3,5,4,4,2,3,2,1,1,1,4,3,4,2,1,3,3,4,4,2,2,4,3,4,3,3,2,3,4,4,4,5,4,2,4,4,4,4,2,20,4,20,Male,0,0,1,0,0,0,0,0,0,2,1,Is the letter faked? I dont think its really randomly from the previous participate. Subject had a hard time understanding the directions; English was not his first language.,,1,0,0,1,0,0,0
11/12/14 16:27,11/12/14 17:13,204,1,2,Blake,sympathy,astonishment,indignance,I feel sympathetic for the writer; and also indignance at what her friend did.  However; I do feel like she should calm down a little bit; it sounded like she's been pouting for a while.  I feel astonished that someone would lie about something like taking the car to the mechanic.  Why not just tell the truth? What have you got to lose? Weird.,2,2,1,1,4,3,1,1,3,1,2,1,5,2,1,1,1,2,1,1,1,5,Anger,Frustration,Sadness,,1,2,1,5,1,1,4,5,1,1,1,1,4,1,4,1,5,4,1,1,4,1,1,5,2,2,1,2,4,2,1,3,5,1,5,1,1,1,4,2,1,4,4,4,1,4,3,1,5,4,2,3,5,5,5,1,2,4,4,4,4,4,3,4,2,5,4,1,5,1,21,3,18,Male,0,0,0,0,1,0,0,0,0,8,7,"Noticed survey was geared towards a negative letter - survey already knew that ""random"" Melissa wrote about a bad experience?",,1,0,0,0,0,0,0
3/17/15 14:47,3/17/15 15:20,1409,0,2,Sophie,Annoyance,Empathy,Sympathy,Annoyed at the jackass who lied about having repaired his car. / Empathy for her feelings of anger and sadness. / Sympathy towards the general outcome and story as a whole.,1,1,1,2,4,5,4,2,3,1,1,3,2,2,2,1,2,2,1,1,1,4,Angry,Sad,Annoyed,,1,3,1,5,5,2,5,5,1,2,1,1,2,1,5,3,5,4,3,1,4,1,2,5,1,2,1,5,1,1,1,5,5,3,5,2,2,2,3,1,2,5,5,2,1,1,5,5,5,3,1,3,5,4,4,2,4,2,5,5,5,2,1,4,1,2,2,3,4,1,22,4,20,Male,0,0,0,0,1,0,0,0,0,7,8,Subject asked right when he finished the survey if we gave everyone the same letter.  He also seemed annoyed; each time he clicked the arrow to advance to the next page; he would sigh or mutter to himself.,,1,0,0,0,1,0,0
2/4/15 12:35,2/4/15 13:00,253,1,2,Blake,Mild interest,Tiredness,,,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,Anger,Frustration,Annoyance,,1,4,1,5,1,1,3,4,1,1,1,1,3,1,5,1,5,4,1,2,3,1,3,5,1,2,1,3,5,1,1,3,5,3,5,1,2,1,4,2,2,5,5,4,2,2,4,4,3,4,3,2,3,2,3,2,4,3,4,4,4,2,2,3,3,2,3,2,4,2,21,5,19,female,1,0,0,0,1,0,0,0,0,7,7,Subject guessed the purpose of the study exactly,,1,0,0,0,0,0,0
1/27/15 15:20,1/27/15 15:49,456,1,2,Sophie,amusement,pity,apathy,Although it's unfortunate that Melissa missed her friend's bachelorette party; her story seems like something that could be made into a comedy movie. Her troubles were mildly amusing. ,4,1,1,1,3,3,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,3,unhappy,frustrated,angry,She's fuming that the guy caused her to miss her best friend's bachelorette party. ,1,2,1,5,3,1,5,5,1,1,1,1,2,1,4,1,5,5,4,2,2,1,2,5,4,3,1,3,5,1,1,2,5,2,,3,2,2,5,1,1,1,2,2,2,4,1,1,4,1,4,3,5,4,5,1,1,4,2,5,1,4,2,2,2,4,2,1,4,1,21,5,20,male,0,0,1,0,0,0,0,0,0,7,8,Subject read the anger letter but in his summary of the letter; did not mention that someone was at fault in the situation.  He also guessed that the letter was fake before I asked him if he thought there was anything more to the study than meets the eye,,1,0,0,0,0,0,0
